"arc_length","flux"
289.486,5.152e+12
289.811,4.88766e+12
290.136,4.61899e+12
290.461,4.34579e+12
290.785,4.11304e+12
291.11,4.00636e+12
291.435,3.902e+12
291.76,3.7999e+12
292.085,3.69995e+12
292.41,3.60208e+12
292.735,3.50624e+12
293.06,3.41233e+12
293.385,3.32029e+12
293.71,3.23007e+12
294.034,3.1416e+12
294.359,3.05482e+12
294.684,2.96967e+12
295.009,2.88611e+12
295.334,2.80408e+12
295.659,2.72353e+12
295.984,2.64442e+12
296.309,2.56671e+12
296.634,2.49034e+12
296.959,2.41527e+12
297.284,2.34148e+12
297.608,2.26892e+12
297.933,2.19755e+12
298.258,2.12734e+12
298.583,2.05825e+12
298.908,1.99026e+12
299.233,1.92333e+12
299.558,1.86607e+12
299.883,1.80919e+12
300.208,1.75218e+12
300.533,1.69503e+12
300.857,1.63775e+12
301.182,1.58031e+12
301.507,1.52274e+12
301.832,1.46501e+12
302.157,1.40712e+12
302.482,1.34906e+12
302.807,1.29085e+12
303.132,1.23245e+12
303.457,1.17388e+12
303.781,1.11513e+12
304.106,1.05618e+12
304.431,9.97039e+11
304.756,9.37691e+11
305.081,8.78132e+11
305.406,8.18357e+11
305.731,7.58354e+11
306.056,6.98118e+11
306.381,6.37641e+11
306.706,5.76911e+11
307.031,5.1592e+11
307.355,4.54662e+11
307.68,3.93121e+11
308.005,3.63964e+11
308.33,3.54017e+11
308.655,3.44313e+11
308.98,3.34843e+11
309.305,3.25599e+11
309.63,3.16572e+11
309.955,3.07756e+11
310.279,2.99143e+11
310.604,2.90725e+11
310.929,2.82497e+11
311.254,2.74451e+11
311.579,2.66583e+11
311.904,2.58886e+11
312.229,2.51354e+11
312.554,2.43982e+11
312.879,2.36766e+11
313.204,2.29699e+11
313.529,2.22778e+11
313.853,2.15999e+11
314.178,2.09356e+11
314.503,2.02846e+11
314.828,1.96465e+11
315.153,1.90209e+11
315.478,1.84074e+11
315.803,1.78057e+11
316.128,1.72154e+11
316.453,1.66592e+11
316.777,1.61571e+11
317.102,1.56564e+11
317.427,1.51571e+11
317.752,1.46591e+11
318.077,1.41627e+11
318.402,1.36677e+11
318.727,1.31743e+11
319.052,1.26826e+11
319.377,1.21924e+11
319.702,1.1704e+11
320.026,1.12173e+11
320.351,1.07325e+11
320.676,1.02495e+11
321.001,9.76847e+10
321.326,9.28942e+10
321.651,8.81244e+10
