"arc_length","T"
113.75,673.453
114.1,673.455
114.45,673.457
114.8,673.46
115.15,673.462
115.5,673.465
115.85,673.467
116.2,673.47
116.55,673.472
116.9,673.475
117.25,673.477
117.6,673.484
117.95,673.503
118.3,673.521
118.65,673.54
119,673.559
119.35,673.577
119.7,673.596
120.05,673.614
120.4,673.633
120.75,673.652
121.1,673.67
121.45,673.689
121.8,673.707
122.15,673.726
122.5,673.745
122.85,673.763
123.2,673.782
123.55,673.8
123.9,673.819
124.25,673.838
124.6,673.856
124.95,673.875
125.3,673.893
125.65,673.912
126,673.931
126.35,673.949
126.7,673.968
127.05,673.986
127.4,674.005
127.75,674.024
128.1,674.042
128.45,674.061
128.8,674.08
129.15,674.098
129.5,674.117
129.85,674.135
130.2,674.154
130.55,674.173
130.9,674.191
131.25,674.21
131.6,674.228
131.95,674.247
132.3,674.266
132.65,674.284
133,674.303
133.35,674.321
133.7,674.34
134.05,674.359
134.4,674.377
134.75,674.396
135.1,674.414
135.45,674.433
135.8,674.452
136.15,674.47
136.5,674.489
136.85,674.507
137.2,674.526
137.55,674.545
137.9,674.563
138.25,674.582
138.6,674.6
138.95,674.619
139.3,674.638
139.65,674.656
140,674.675
140.35,674.693
140.7,674.712
141.05,674.731
141.4,674.749
141.75,674.768
142.1,674.786
142.45,674.805
142.8,674.824
143.15,674.842
143.5,674.861
143.85,674.879
144.2,674.898
144.55,674.917
144.9,674.935
145.25,675.096
145.6,675.312
145.95,675.529
146.3,675.746
146.65,675.963
147,676.18
147.35,676.397
147.7,676.614
148.05,676.83
148.4,677.047
148.75,677.264
149.1,677.481
149.45,677.698
149.8,677.915
150.15,678.144
150.5,678.39
150.85,678.637
151.2,678.883
151.55,679.129
151.9,679.375
152.25,679.622
152.6,679.868
152.95,680.114
153.3,680.36
153.65,680.606
154,680.853
154.35,681.099
154.7,681.345
155.05,681.597
155.4,681.885
155.75,682.173
156.1,682.46
156.45,682.748
156.8,683.036
157.15,683.324
157.5,683.611
157.85,683.899
158.2,684.187
158.55,684.474
158.9,684.762
159.25,685.055
159.6,685.35
159.95,685.644
160.3,685.939
160.65,686.234
161,686.529
161.35,686.823
161.7,687.118
162.05,687.413
162.4,687.708
162.75,688.002
163.1,688.303
163.45,688.617
163.8,688.931
164.15,689.246
164.5,689.56
164.85,689.875
165.2,690.189
165.55,690.503
165.9,690.818
166.25,691.132
166.6,691.447
166.95,691.761
167.3,692.085
167.65,692.411
168,692.737
168.35,693.063
168.7,693.388
169.05,693.714
169.4,694.04
169.75,694.366
170.1,694.692
170.45,695.017
170.8,695.343
171.15,695.67
171.5,696
171.85,696.329
172.2,696.658
172.55,696.987
172.9,697.316
173.25,697.646
173.6,697.975
173.95,698.304
174.3,698.633
174.65,698.962
175,699.292
175.35,699.615
175.7,699.939
176.05,700.262
176.4,700.586
176.75,700.909
177.1,701.233
177.45,701.556
177.8,701.88
178.15,702.203
178.5,702.527
178.85,702.851
179.2,703.167
179.55,703.477
179.9,703.787
180.25,704.098
180.6,704.408
180.95,704.718
181.3,705.029
181.65,705.339
182,705.65
182.35,705.96
182.7,706.27
183.05,706.578
183.4,706.866
183.75,707.154
184.1,707.442
184.45,707.73
184.8,708.018
185.15,708.307
185.5,708.595
185.85,708.883
186.2,709.171
186.55,709.459
186.9,709.747
187.25,710.016
187.6,710.277
187.95,710.539
188.3,710.8
188.65,711.061
189,711.322
189.35,711.584
189.7,711.845
190.05,712.106
190.4,712.367
190.75,712.629
191.1,712.889
191.45,713.147
191.8,713.405
192.15,713.663
192.5,713.921
192.85,714.179
193.2,714.438
193.55,714.696
193.9,714.954
194.25,715.212
194.6,715.47
194.95,715.728
195.3,715.939
195.65,716.142
196,716.345
196.35,716.548
196.7,716.751
197.05,716.954
197.4,717.157
197.75,717.361
198.1,717.564
198.45,717.767
198.8,717.97
199.15,718.173
199.5,718.376
199.85,718.579
200.2,718.741
200.55,718.873
200.9,719.004
201.25,719.136
201.6,719.267
201.95,719.399
202.3,719.53
202.65,719.662
203,719.794
203.35,719.925
203.7,720.057
204.05,720.188
204.4,720.32
204.75,720.451
205.1,720.554
205.45,720.583
205.8,720.613
206.15,720.642
206.5,720.672
206.85,720.702
207.2,720.731
207.55,720.761
207.9,720.79
208.25,720.82
208.6,720.85
208.95,720.879
209.3,720.909
209.65,720.938
210,720.968
210.35,720.998
210.7,721.027
211.05,721.053
211.4,721.053
211.75,721.053
212.1,721.053
212.45,721.052
212.8,721.052
213.15,721.052
213.5,721.052
213.85,721.052
214.2,721.052
214.55,721.052
214.9,721.052
215.25,721.052
215.6,721.052
215.95,721.052
216.3,721.052
216.65,721.052
217,721.052
217.35,721.052
217.7,721.051
218.05,721.051
218.4,721.051
218.75,721.051
219.1,721.05
219.45,721.05
219.8,721.05
220.15,721.049
220.5,721.049
220.85,721.049
221.2,721.048
221.55,721.048
221.9,721.048
222.25,721.047
222.6,721.047
222.95,721.047
223.3,721.046
223.65,721.046
224,721.046
224.35,721.045
224.7,721.045
225.05,721.044
225.4,721.044
225.75,721.044
226.1,721.043
226.45,721.043
226.8,721.043
227.15,721.042
227.5,721.042
227.85,721.042
228.2,721.041
228.55,721.041
228.9,721.041
229.25,721.04
229.6,721.04
229.95,721.04
230.3,721.039
230.65,721.039
231,721.039
231.35,721.038
231.7,721.038
232.05,721.038
232.4,721.037
232.75,721.035
233.1,721.034
233.45,721.033
233.8,721.032
234.15,721.031
234.5,721.03
234.85,721.029
235.2,721.028
235.55,721.027
235.9,721.026
236.25,721.025
236.6,721.024
236.95,721.023
237.3,721.022
237.65,721.021
238,721.02
238.35,721.019
238.7,721.018
239.05,721.017
239.4,721.016
239.75,721.015
240.1,721.014
240.45,721.013
240.8,721.012
241.15,721.011
241.5,721.01
241.85,721.009
242.2,721.007
242.55,721.005
242.9,721.004
243.25,721.002
243.6,721
243.95,720.998
244.3,720.996
244.65,720.994
245,720.992
245.35,720.99
245.7,720.989
246.05,720.987
246.4,720.985
246.75,720.983
247.1,720.981
247.45,720.979
247.8,720.977
248.15,720.975
248.5,720.974
248.85,720.972
249.2,720.97
249.55,720.968
249.9,720.966
250.25,720.964
250.6,720.962
250.95,720.96
251.3,720.958
251.65,720.957
252,720.955
252.35,720.953
252.7,720.951
253.05,720.949
253.4,720.947
253.75,720.945
254.1,720.943
254.45,720.942
254.8,720.94
255.15,720.938
255.5,720.936
255.85,720.934
256.2,720.932
256.55,720.93
256.9,720.928
257.25,720.927
257.6,720.925
257.95,720.923
258.3,720.921
258.65,720.919
259,720.917
259.35,720.915
259.7,720.913
260.05,720.911
260.4,720.91
260.75,720.908
261.1,720.906
261.45,720.904
261.8,720.902
262.15,720.898
262.5,720.89
262.85,720.883
263.2,720.876
263.55,720.868
263.9,720.861
264.25,720.853
264.6,720.846
264.95,720.839
265.3,720.831
265.65,720.824
266,720.816
266.35,720.809
266.7,720.802
267.05,720.794
267.4,720.787
267.75,720.78
268.1,720.772
268.45,720.765
268.8,720.757
269.15,720.75
269.5,720.743
269.85,720.735
270.2,720.728
270.55,720.72
270.9,720.713
271.25,720.706
271.6,720.698
271.95,720.691
272.3,720.683
272.65,720.676
273,720.669
273.35,720.661
273.7,720.654
274.05,720.646
274.4,720.639
274.75,720.632
275.1,720.624
275.45,720.617
275.8,720.609
276.15,720.602
276.5,720.595
276.85,720.587
277.2,720.58
277.55,720.573
277.9,720.565
278.25,720.558
278.6,720.55
278.95,720.543
279.3,720.536
279.65,720.528
280,720.521
280.35,720.513
280.7,720.506
281.05,720.499
281.4,720.491
281.75,720.484
282.1,720.474
282.45,720.458
282.8,720.443
283.15,720.427
283.5,720.411
283.85,720.395
284.2,720.379
284.55,720.364
284.9,720.348
285.25,720.332
285.6,720.316
285.95,720.301
286.3,720.285
286.65,720.269
287,720.253
287.35,720.238
287.7,720.222
288.05,720.206
288.4,720.19
288.75,720.175
289.1,720.159
289.45,720.143
289.8,720.127
290.15,720.112
290.5,720.096
290.85,720.08
291.2,720.064
291.55,720.049
291.9,720.033
292.25,720.017
292.6,720.001
292.95,719.986
293.3,719.97
293.65,719.954
294,719.938
294.35,719.923
294.7,719.907
295.05,719.891
295.4,719.875
295.75,719.859
296.1,719.844
296.45,719.828
296.8,719.812
297.15,719.796
297.5,719.781
297.85,719.765
298.2,719.749
298.55,719.733
298.9,719.718
299.25,719.702
299.6,719.686
299.95,719.67
300.3,719.655
300.65,719.639
301,719.623
301.35,719.607
301.7,719.592
302.05,719.576
302.4,719.56
302.75,719.544
303.1,719.529
303.45,719.513
303.8,719.497
304.15,719.481
304.5,719.466
304.85,719.45
305.2,719.434
305.55,719.418
305.9,719.403
306.25,719.387
306.6,719.371
306.95,719.355
307.3,719.339
307.65,719.324
308,719.308
308.35,719.292
308.7,719.276
309.05,719.261
309.4,719.245
309.75,719.229
310.1,719.211
310.45,719.189
310.8,719.166
311.15,719.144
311.5,719.121
311.85,719.099
312.2,719.076
312.55,719.054
312.9,719.031
313.25,719.009
313.6,718.986
313.95,718.963
314.3,718.941
314.65,718.918
315,718.896
315.35,718.873
315.7,718.851
316.05,718.828
316.4,718.806
316.75,718.783
317.1,718.761
317.45,718.738
317.8,718.715
318.15,718.693
318.5,718.67
318.85,718.648
319.2,718.625
319.55,718.603
319.9,718.58
320.25,718.558
320.6,718.535
320.95,718.513
321.3,718.49
321.65,718.467
322,718.445
322.35,718.422
322.7,718.4
323.05,718.377
323.4,718.355
323.75,718.332
324.1,718.31
324.45,718.287
324.8,718.264
325.15,718.242
325.5,718.219
325.85,718.197
326.2,718.174
326.55,718.152
326.9,718.129
327.25,718.107
327.6,718.084
327.95,718.062
328.3,718.039
328.65,718.016
329,717.994
329.35,717.971
329.7,717.949
330.05,717.926
330.4,717.904
330.75,717.881
331.1,717.859
331.45,717.836
331.8,717.814
332.15,717.791
332.5,717.768
332.85,717.746
333.2,717.723
333.55,717.701
333.9,717.678
334.25,717.656
334.6,717.633
334.95,717.611
335.3,717.588
335.65,717.566
336,717.543
336.35,717.52
336.7,717.498
337.05,717.475
337.4,717.453
337.75,717.43
338.1,717.392
338.45,717.315
338.8,717.238
339.15,717.16
339.5,717.083
339.85,717.006
340.2,716.929
340.55,716.851
340.9,716.774
341.25,716.697
341.6,716.62
341.95,716.542
342.3,716.465
342.65,716.388
343,716.311
343.35,716.233
343.7,716.156
344.05,716.086
344.4,716.06
344.75,716.034
345.1,716.008
345.45,715.982
345.8,715.956
346.15,715.93
346.5,715.904
346.85,715.878
347.2,715.852
347.55,715.826
347.9,715.8
348.25,715.774
348.6,715.748
348.95,715.722
349.3,715.696
349.65,715.67
350,715.644
