#"arc_length" "flux" "flux"
50.0346 8.33138e+12 8.94101e+12
50.3595 8.33138e+12 8.94101e+12
50.6844 8.33138e+12 8.94101e+12
51.0093 8.33138e+12 8.94101e+12
51.3342 2.65742e+13 3.15586e+13
51.6591 2.65742e+13 3.15586e+13
51.984 2.65742e+13 3.15586e+13
52.3089 2.65742e+13 3.15586e+13
52.6338 2.65742e+13 3.15586e+13
52.9587 2.65742e+13 3.15586e+13
53.2836 2.65742e+13 3.15586e+13
53.6085 2.65742e+13 3.15586e+13
53.9334 2.65742e+13 3.15586e+13
54.2583 2.65742e+13 3.15586e+13
54.5832 2.65742e+13 3.15586e+13
54.9081 2.65742e+13 3.15586e+13
55.233 2.65742e+13 3.15586e+13
55.5579 2.65742e+13 3.15586e+13
55.8828 2.65742e+13 3.15586e+13
56.2077 2.65742e+13 3.15586e+13
56.5326 2.65742e+13 3.15586e+13
56.8575 2.65742e+13 3.15586e+13
57.1824 2.65742e+13 3.15586e+13
57.5073 2.65742e+13 3.15586e+13
57.8322 2.65742e+13 3.15586e+13
58.1571 2.65742e+13 3.15586e+13
58.482 2.65742e+13 3.15586e+13
58.8069 2.65742e+13 3.15586e+13
59.1318 2.65742e+13 3.15586e+13
59.4567 2.65742e+13 3.15586e+13
59.7816 2.65742e+13 3.15586e+13
60.1065 2.65742e+13 3.15586e+13
60.4314 2.65742e+13 3.15586e+13
60.7563 2.65742e+13 3.15586e+13
61.0812 2.65742e+13 3.15586e+13
61.4061 2.65742e+13 3.15586e+13
61.731 2.65742e+13 3.15586e+13
62.0559 2.65742e+13 3.15586e+13
62.3808 2.65742e+13 3.15586e+13
62.7057 2.65742e+13 3.15586e+13
63.0306 2.65742e+13 3.15586e+13
63.3555 2.65742e+13 3.15586e+13
63.6804 2.65742e+13 3.15586e+13
64.0053 2.65742e+13 3.15586e+13
64.3302 2.65742e+13 3.15586e+13
64.6551 2.65742e+13 3.15586e+13
64.98 2.65742e+13 3.15586e+13
65.3049 2.65742e+13 3.15586e+13
65.6298 2.65742e+13 3.15586e+13
65.9547 2.65742e+13 3.15586e+13
66.2796 2.65742e+13 3.15586e+13
66.6045 2.65742e+13 3.15586e+13
66.9294 2.65742e+13 3.15586e+13
67.2543 2.65742e+13 3.15586e+13
67.5792 2.65742e+13 3.15586e+13
67.9041 2.65742e+13 3.15586e+13
68.229 2.65742e+13 3.15586e+13
68.5539 4.88661e+13 6.74817e+13
68.8788 4.88661e+13 6.74817e+13
69.2037 4.88661e+13 6.74817e+13
69.5286 4.88661e+13 6.74817e+13
69.8535 4.88661e+13 6.74817e+13
70.1784 4.88661e+13 6.74817e+13
70.5033 4.88661e+13 6.74817e+13
70.8282 4.88661e+13 6.74817e+13
71.1531 4.88661e+13 6.74817e+13
71.478 4.88661e+13 6.74817e+13
71.8029 4.88661e+13 6.74817e+13
72.1278 4.88661e+13 6.74817e+13
72.4527 4.88661e+13 6.74817e+13
72.7776 4.88661e+13 6.74817e+13
73.1025 4.88661e+13 6.74817e+13
73.4274 4.88661e+13 6.74817e+13
73.7523 4.88661e+13 6.74817e+13
74.0772 4.88661e+13 6.74817e+13
74.4021 4.88661e+13 6.74817e+13
74.727 4.88661e+13 6.74817e+13
75.0519 4.88661e+13 6.74817e+13
75.3768 4.88661e+13 6.74817e+13
75.7017 4.88661e+13 6.74817e+13
76.0266 4.88661e+13 6.74817e+13
76.3515 4.88661e+13 6.74817e+13
76.6764 4.88661e+13 6.74817e+13
77.0013 4.88661e+13 6.74817e+13
77.3262 4.88661e+13 6.74817e+13
77.6511 4.88661e+13 6.74817e+13
77.976 4.88661e+13 6.74817e+13
78.3009 4.88661e+13 6.74817e+13
78.6258 4.88661e+13 6.74817e+13
78.9507 4.88661e+13 6.74817e+13
79.2756 4.88661e+13 6.74817e+13
79.6005 4.88661e+13 6.74817e+13
79.9254 4.88661e+13 6.74817e+13
80.2503 4.88661e+13 6.74817e+13
80.5752 4.88661e+13 6.74817e+13
80.9001 4.88661e+13 6.74817e+13
81.225 4.88661e+13 6.74817e+13
81.5499 4.88661e+13 6.74817e+13
81.8748 4.88661e+13 6.74817e+13
82.1997 4.88661e+13 6.74817e+13
82.5246 4.88661e+13 6.74817e+13
82.8495 4.88661e+13 6.74817e+13
83.1744 4.88661e+13 6.74817e+13
83.4993 4.88661e+13 6.74817e+13
83.8242 4.88661e+13 6.74817e+13
84.1491 4.88661e+13 6.74817e+13
84.474 4.88661e+13 6.74817e+13
84.7989 4.88661e+13 6.74817e+13
85.1238 4.88661e+13 6.74817e+13
85.4487 4.88661e+13 6.74817e+13
85.7736 6.9738e+13 7.09297e+13
86.0985 6.9738e+13 7.09297e+13
86.4234 6.9738e+13 7.09297e+13
86.7483 6.9738e+13 7.09297e+13
87.0732 6.9738e+13 7.09297e+13
87.3981 6.9738e+13 7.09297e+13
87.723 6.9738e+13 7.09297e+13
88.0479 6.9738e+13 7.09297e+13
88.3728 6.9738e+13 7.09297e+13
88.6977 6.9738e+13 7.09297e+13
89.0226 6.9738e+13 7.09297e+13
89.3475 6.9738e+13 7.09297e+13
89.6724 6.9738e+13 7.09297e+13
89.9973 6.9738e+13 7.09297e+13
90.3222 6.9738e+13 7.09297e+13
90.6471 6.9738e+13 7.09297e+13
90.972 6.9738e+13 7.09297e+13
91.2969 6.9738e+13 7.09297e+13
91.6218 6.9738e+13 7.09297e+13
91.9467 6.9738e+13 7.09297e+13
92.2716 6.9738e+13 7.09297e+13
92.5965 6.9738e+13 7.09297e+13
92.9214 6.9738e+13 7.09297e+13
93.2463 6.9738e+13 7.09297e+13
93.5712 6.9738e+13 7.09297e+13
93.8961 6.9738e+13 7.09297e+13
94.221 6.9738e+13 7.09297e+13
94.5459 6.9738e+13 7.09297e+13
94.8708 6.9738e+13 7.09297e+13
95.1957 6.9738e+13 7.09297e+13
95.5206 6.9738e+13 7.09297e+13
95.8455 6.9738e+13 7.09297e+13
96.1704 6.9738e+13 7.09297e+13
96.4953 6.9738e+13 7.09297e+13
96.8202 6.9738e+13 7.09297e+13
97.1451 6.9738e+13 7.09297e+13
97.47 6.9738e+13 7.09297e+13
97.7949 6.9738e+13 7.09297e+13
98.1198 6.9738e+13 7.09297e+13
98.4447 6.9738e+13 7.09297e+13
98.7696 6.9738e+13 7.09297e+13
99.0945 6.9738e+13 7.09297e+13
99.4194 6.9738e+13 7.09297e+13
99.7443 6.9738e+13 7.09297e+13
100.069 6.9738e+13 7.09297e+13
100.394 6.9738e+13 7.09297e+13
100.719 6.9738e+13 7.09297e+13
101.044 6.9738e+13 7.09297e+13
101.369 6.9738e+13 7.09297e+13
101.694 6.9738e+13 7.09297e+13
102.019 6.9738e+13 7.09297e+13
102.343 6.9738e+13 7.09297e+13
102.668 5.47817e+13 5.76563e+13
102.993 5.47817e+13 5.76563e+13
103.318 5.47817e+13 5.76563e+13
103.643 5.47817e+13 5.76563e+13
103.968 5.47817e+13 5.76563e+13
104.293 5.47817e+13 5.76563e+13
104.618 5.47817e+13 5.76563e+13
104.943 5.47817e+13 5.76563e+13
105.268 5.47817e+13 5.76563e+13
105.592 5.47817e+13 5.76563e+13
105.917 5.47817e+13 5.76563e+13
106.242 5.47817e+13 5.76563e+13
106.567 5.47817e+13 5.76563e+13
106.892 5.47817e+13 5.76563e+13
107.217 5.47817e+13 5.76563e+13
