#"arc_length" "flux" "flux"
66.6045 3.83587e+13 4.66488e+13
66.9294 3.88525e+13 4.73205e+13
67.2543 3.93507e+13 4.80008e+13
67.5792 3.98534e+13 4.86899e+13
67.9041 4.03607e+13 4.93883e+13
68.229 4.08729e+13 5.00962e+13
68.5539 4.14521e+13 5.07894e+13
68.8788 4.20862e+13 5.14437e+13
69.2037 4.26998e+13 5.20791e+13
69.5286 4.32938e+13 5.26964e+13
69.8535 4.38689e+13 5.32962e+13
70.1784 4.44257e+13 5.38792e+13
70.5033 4.49648e+13 5.44458e+13
70.8282 4.54869e+13 5.49967e+13
71.1531 4.59926e+13 5.55325e+13
71.478 4.64825e+13 5.60536e+13
71.8029 4.69569e+13 5.65605e+13
72.1278 4.74166e+13 5.70538e+13
72.4527 4.78618e+13 5.75337e+13
72.7776 4.82932e+13 5.80009e+13
73.1025 4.87112e+13 5.84557e+13
73.4274 4.91162e+13 5.88984e+13
73.7523 4.95085e+13 5.93295e+13
74.0772 4.98886e+13 5.97494e+13
74.4021 5.0257e+13 6.01583e+13
74.727 5.06138e+13 6.05566e+13
75.0519 5.09595e+13 6.09447e+13
75.3768 5.12944e+13 6.13228e+13
75.7017 5.16188e+13 6.16912e+13
76.0266 5.19331e+13 6.20502e+13
76.3515 5.22375e+13 6.24001e+13
76.6764 5.25323e+13 6.27412e+13
77.0013 5.28421e+13 6.30798e+13
77.3262 5.3278e+13 6.34468e+13
77.6511 5.3715e+13 6.38131e+13
77.976 5.4153e+13 6.41784e+13
78.3009 5.45921e+13 6.45429e+13
78.6258 5.50324e+13 6.49065e+13
78.9507 5.54738e+13 6.52691e+13
79.2756 5.59165e+13 6.56308e+13
79.6005 5.63603e+13 6.59914e+13
79.9254 5.68055e+13 6.63511e+13
80.2503 5.7252e+13 6.67096e+13
80.5752 5.76998e+13 6.70671e+13
80.9001 5.8149e+13 6.74234e+13
81.225 5.85997e+13 6.77786e+13
81.5499 5.90519e+13 6.81326e+13
81.8748 5.95056e+13 6.84853e+13
82.1997 5.9961e+13 6.88367e+13
82.5246 6.0418e+13 6.91868e+13
82.8495 6.08767e+13 6.95355e+13
83.1744 6.13371e+13 6.98828e+13
83.4993 6.17994e+13 7.02286e+13
83.8242 6.22636e+13 7.05729e+13
84.1491 6.27298e+13 7.09156e+13
84.474 6.3198e+13 7.12566e+13
84.7989 6.36684e+13 7.1596e+13
85.1238 6.41409e+13 7.19335e+13
85.4487 6.46157e+13 7.22693e+13
85.7736 6.49676e+13 7.23288e+13
86.0985 6.52787e+13 7.23305e+13
86.4234 6.55713e+13 7.23257e+13
86.7483 6.58461e+13 7.23146e+13
87.0732 6.61039e+13 7.22975e+13
87.3981 6.63451e+13 7.22745e+13
87.723 6.65704e+13 7.22458e+13
88.0479 6.67803e+13 7.22117e+13
88.3728 6.69753e+13 7.21724e+13
88.6977 6.7156e+13 7.2128e+13
89.0226 6.73228e+13 7.20786e+13
89.3475 6.74761e+13 7.20245e+13
89.6724 6.76165e+13 7.19658e+13
89.9973 6.77443e+13 7.19027e+13
90.3222 6.786e+13 7.18352e+13
90.6471 6.79638e+13 7.17636e+13
90.972 6.80563e+13 7.1688e+13
91.2969 6.81377e+13 7.16084e+13
91.6218 6.82084e+13 7.15251e+13
91.9467 6.82687e+13 7.1438e+13
92.2716 6.83189e+13 7.13474e+13
92.5965 6.83594e+13 7.12534e+13
92.9214 6.83903e+13 7.1156e+13
93.2463 6.84121e+13 7.10553e+13
93.5712 6.84248e+13 7.09514e+13
93.8961 6.84289e+13 7.08445e+13
94.221 6.84603e+13 7.07488e+13
94.5459 6.85185e+13 7.06629e+13
94.8708 6.85724e+13 7.0574e+13
95.1957 6.86218e+13 7.04822e+13
95.5206 6.86665e+13 7.03872e+13
95.8455 6.87065e+13 7.02891e+13
96.1704 6.87416e+13 7.01876e+13
96.4953 6.87716e+13 7.00827e+13
96.8202 6.87964e+13 6.99743e+13
97.1451 6.88158e+13 6.98623e+13
97.47 6.88297e+13 6.97466e+13
97.7949 6.88378e+13 6.9627e+13
98.1198 6.884e+13 6.95034e+13
98.4447 6.88361e+13 6.93758e+13
98.7696 6.88259e+13 6.92438e+13
99.0945 6.88092e+13 6.91075e+13
99.4194 6.87857e+13 6.89667e+13
99.7443 6.87553e+13 6.88212e+13
100.069 6.87176e+13 6.86708e+13
100.394 6.86725e+13 6.85154e+13
100.719 6.86196e+13 6.83548e+13
