#"arc_length" "power_dis" "power_dis"
224.181 97686.1 99168.3
224.506 97706.1 99251
224.831 97705.5 99314.6
225.156 97685 99359.7
225.481 97645.3 99387
225.805 97587.1 99396.9
226.13 97510.9 99390.2
226.455 97417.3 99367.3
226.78 97306.9 99328.8
227.105 97180.2 99275.1
227.43 97037.7 99206.8
227.755 96880 99124.4
228.08 96707.5 99028.1
228.405 96520.7 98918.6
228.73 96319.9 98796.1
229.055 96105.7 98661.1
229.379 95878.4 98513.9
229.704 95638.4 98354.9
230.029 95386.1 98184.5
230.354 95121.8 98002.9
230.679 94845.9 97810.5
231.004 94565.3 97562.3
231.329 94267.7 97241.1
231.654 93940.3 96892.5
231.979 93582.2 96515.5
232.303 93192.4 96109.4
232.628 92770.1 95673.3
232.953 92314.2 95206.2
233.278 91823.7 94707.3
233.603 91297.5 94175.5
233.928 90734.5 93609.8
234.253 90133.6 93009
234.578 89493.5 92372.3
234.903 88813 91698.2
235.228 88090.7 90985.6
235.552 87325.3 90233.4
235.877 86515.4 89440
236.202 85659.3 88604.2
236.527 84755.6 87724.4
236.852 83802.5 86799.2
237.177 82798.5 85827
237.502 81741.6 84806.1
237.827 80630 83734.7
238.152 79461.7 82611.1
238.477 78234.5 81433.3
238.801 76946.5 80199.4
239.126 75595.1 78907.1
239.451 74235.3 77606.7
239.776 73162.2 76570.4
240.101 72106 75551.7
240.426 71066.1 74550.1
240.751 70042 73564.8
241.076 69033.1 72595.5
241.401 68038.7 71641.4
241.726 67058.6 70702
242.051 66092 69776.8
242.375 65138.6 68865.4
242.7 64197.9 67967.3
243.025 63269.6 67082.1
243.35 62353.1 66209.2
243.675 61448.2 65348.4
244 60554.4 64499.2
244.325 59671.4 63661.2
244.65 58798.8 62834.2
244.975 57936.4 62017.7
245.299 57083.7 61211.5
245.624 56240.6 60415.1
245.949 55406.7 59628.4
246.274 54581.7 58851.1
246.599 53765.5 58082.8
246.924 52957.6 57323.2
247.249 52157.9 56572.3
247.574 51366.2 55829.6
247.899 50582.2 55094.9
248.224 50525.4 55125.7
248.548 50587.5 55282.8
248.873 50630.9 55421.7
249.198 50655.1 55541.9
249.523 50659.5 55642.8
249.848 50643.6 55723.8
250.173 50606.6 55784.4
250.498 50548.1 55823.8
250.823 50467.2 55841.6
251.148 50363.3 55836.8
251.473 50235.7 55808.9
251.798 50083.5 55757.2
252.122 49906 55680.7
252.447 49702.5 55578.8
252.772 49471.9 55450.5
253.097 49213.4 55295
253.422 48926 55111.4
253.747 48608.8 54898.7
254.072 48260.8 54655.9
254.397 47880.7 54381.9
254.722 47467.6 54075.6
255.046 47020.2 53735.9
255.371 46537.2 53361.6
255.696 46017.4 52951.3
256.021 45459.4 52503.7
256.346 44861.7 52017.5
256.671 44417 51621.6
256.996 44123.9 51317.8
257.321 43814.1 50994.4
257.646 43488.3 50651.9
257.971 43146.9 50291.2
258.296 42790.6 49912.7
258.62 42419.8 49517.2
258.945 42035.1 49105.3
259.27 41636.9 48677.5
259.595 41225.7 48234.2
259.92 40801.9 47776.2
260.245 40366 47303.8
260.57 39918.4 46817.6
260.895 39459.3 46317.9
261.22 38989.3 45805.2
261.544 38508.6 45280
261.869 38017.6 44742.5
262.194 37516.5 44193.3
