#energiapu	#SU fissione			#energiau235	#SU fissione
0.19375	737.3398			0.284283	200.6855
0.196875	762.8873			0.288871	199.4493
0.2	790.4295			0.293459	197.6909
0.20119	801.796578			0.298046	195.434
0.203567	824.4973			0.302634	192.7208
0.207133	861.633			0.307222	189.6115
0.210699	902.155			0.316397	182.493
0.214266	946.4109			0.334748	166.4423
0.217832	994.7653			0.343923	158.3249
0.221209	1.04E+03			0.348511	154.3771
0.221398	1.05E+03			0.353099	150.5354
0.224965	1.11E+03			0.359615	145.2915
0.228531	1.17E+03			0.36613	140.3202
0.232582	1.25E+03			0.372646	135.633
0.236633	1.33E+03			0.379162	131.2305
0.240683	1.43E+03			0.385678	127.1053
0.241228	1.44E+03			0.392193	123.2455
0.244734	1.54E+03			0.398709	119.6368
0.248784	1.65E+03			0.405225	116.2641
0.252835	1.78E+03			0.409964	113.9503
0.25486	1.84E+03			0.414702	111.7459
0.256886	1.91E+03			0.420034	109.3877
0.258911	1.98E+03			0.425365	107.1488
0.260936	2.06E+03			0.430696	105.0211
0.261247	2.07E+03			0.436027	102.9977
0.263163	2.14E+03			0.446689	99.23889
0.26539	2.22E+03			0.457351	95.82444
0.267618	2.31E+03			0.468014	92.71369
0.269845	2.40E+03			0.478676	89.87671
0.272072	2.49E+03			0.5	84.89555
0.274299	2.58E+03			0.53125	78.81962
0.276526	2.66E+03			0.5625	73.86299
0.278753	2.75E+03			0.59375	69.78862
0.28098	2.83E+03			0.625	66.41206
0.281266	2.84E+03			0.65625	63.61053
0.283207	2.91E+03			0.6875	61.30291
0.285434	2.98E+03			0.71875	59.43843
0.287661	3.05E+03			0.75	57.99074
0.289888	3.11E+03			0.78125	56.95578
0.292115	3.16E+03			0.8125	56.35307
0.294342	3.20E+03			0.84375	56.23061
0.296569	3.23E+03			0.875	56.67498
0.298999	3.25E+03			0.90625	57.82877
0.301285	3.26E+03			0.9375	59.87878
0.301428	3.26E+03			0.953125	61.3484
0.303048	3.25E+03			0.96875	63.22291
0.305073	3.24E+03			0.984375	65.56999
0.307098	3.22E+03			1	68.48411
0.309122	3.19E+03			1.010725	70.87593
0.311147	3.15E+03			1.02145	73.63848
0.313171	3.11E+03			1.032175	76.81684
0.315196	3.05E+03			1.0429	80.45074
0.319245	2.93E+03			1.05455	84.94542
0.321304	2.86E+03			1.0662	90.00539
0.323294	2.79E+03			1.07785	95.53503
0.327344	2.63E+03			1.0895	101.2825
0.331393	2.47E+03			1.1128	111.3829
0.335442	2.30E+03			1.12445	114.0863
0.339076	2.16E+03			1.1361	113.9085
0.341323	2.07E+03			1.145975	111.0001
0.34271	2.02E+03			1.15585	105.5142
0.346344	1.89E+03			1.168194	95.61518
0.349979	1.76E+03			1.180538	83.63078
0.353613	1.64E+03			1.192882	71.15317
0.357247	1.53E+03			1.205225	59.49205
0.360881	1.43E+03			1.215154	51.2435
0.361342	1.42E+03			1.225082	44.18881
0.364515	1.33E+03			1.23501	38.3369
0.367842	1.25E+03			1.244938	33.62587
0.371168	1.18E+03			1.254866	29.9886
0.374495	1.11E+03			1.264794	27.3828
0.377822	1.05E+03			1.274722	25.75737
0.381148	991.3599			1.28465	24.9636
0.381361	987.909507			1.291675	24.74112
0.384475	937.3962			1.3057	24.50759
0.387802	887.4709			1.3127	24.25679
0.391128	841.2575			1.324096	23.5062
0.394455	798.4463			1.335491	22.44809
0.397782	758.7557			1.346887	21.31779
0.401108	721.9223			1.358282	20.28735
0.40138	719.126909			1.369678	19.41967
0.404435	687.7091			1.381073	18.70897
0.407761	655.8955			1.403863	17.64534
0.411088	626.283			1.426654	16.9064
0.414415	598.6867			1.449444	16.3711
0.417741	572.9374			1.472235	15.96582
0.421068	548.8796			1.495025	15.64849
0.421399	546.64028			1.521326	15.35212
0.424395	526.3741			1.547627	15.10149
0.427721	505.2928			1.600229	14.69709
0.431048	485.5233			1.652831	14.37267
0.434375	466.9625			1.705432	14.10362
0.437701	449.5192			1.736993	13.96763
0.441028	433.1088			1.768554	13.85392
0.441418	431.296046			1.800115	13.76788
0.444354	417.6544			1.815895	13.74038
0.447681	403.0849			1.831675	13.72689
0.451008	389.3364			1.844826	13.72888
0.454334	376.3488			1.857976	13.74602
0.457661	364.0684			1.871127	13.78286
0.460988	352.4448			1.884277	13.8463
0.461437	350.957542			1.897428	13.94672
0.464314	341.4332			1.910578	14.0997
0.467641	330.9917			1.917154	14.20318
0.470967	321.0826			1.923729	14.33033
0.474597	310.8394			1.930304	14.48723
0.478226	301.1491			1.936879	14.682
0.481456	292.983582			1.944769	14.98141
0.481855	291.9755			1.948714	15.1654
0.485484	283.2852			1.952659	15.37761
0.5	252.7264			1.95792	15.71314
0.501475	250.178733			1.96318	16.1213
0.515625	225.7384			1.96844	16.61796
0.521494	217.339213			1.9737	17.22023
0.53125	203.3773			1.97896	17.94478
0.541514	191.110753			1.98422	18.80477
0.546875	184.7038			1.98948	19.80567
0.561533	169.912682			1.99474	20.94007
0.5625	168.9369			2	22.1825
0.578125	155.4815			2.00485	23.38339
0.581552	152.938677			2.012388	25.22081
0.59375	143.8878			2.019925	26.78587
0.601571	138.844018			2.023694	27.37648
0.609375	133.8112			2.027463	27.79569
0.62159	126.910761			2.031232	28.01875
0.625	124.9844			2.035	28.03013
0.640625	117.197			2.038175	27.87155
0.641609	116.761546			2.042786	27.37532
0.65625	110.2824			2.047397	26.59302
0.661628	108.15908			2.052008	25.57527
0.671875	104.1134			2.056618	24.38652
0.681647	100.674538			2.075061	19.24615
0.6875	98.61481			2.080559	17.92075
0.701666	94.306442			2.086056	16.77136
0.71875	89.11061			2.091554	15.803
0.721685	88.365613			2.097051	15.0051
0.741704	83.28415			2.102549	14.35711
0.75	81.17836			2.108046	13.83534
0.761723	78.676158			2.113544	13.41598
0.78125	74.50824			2.119041	13.07806
0.781742	74.418789			2.123928	12.83157
0.801761	70.779104			2.128815	12.62523
0.8125	68.82663			2.133397	12.46102
0.82178	67.373287			2.137978	12.31965
0.841799	64.238107			2.147141	12.08922
0.84375	63.93256			2.156304	11.90937
0.861818	61.471271			2.165466	11.76453
0.875	59.67557			2.174629	11.64455
0.881837	58.858495			2.183791	11.54274
0.901856	56.466067			2.192954	11.45441
0.90625	55.94095			2.202116	11.37626
0.921875	54.290365			2.220441	11.24145
0.9375	52.63978			2.238766	11.12579
0.941894	52.226726			2.257091	11.02236
0.961913	50.344856			2.275416	10.92696
0.96875	49.70215			2.302293	10.79586
0.981932	48.592829			2.32917	10.66988
1	47.07233			2.356047	10.54502
1.00195	46.92465			2.382924	10.41832
1.02197	45.408473			2.436678	10.14681
1.03125	44.70567			2.490432	9.824144
1.04199	43.975412			2.543856	9.401782
1.06201	42.614167			2.570568	9.126937
1.0625	42.58085			2.597279	8.791888
1.08203	41.422918			2.623991	8.378806
1.10205	40.235934			2.650702	7.876384
1.12207	39.048949			2.664058	7.602468
1.125	38.87523			2.677414	7.33452
1.14208	38.022495			2.69077	7.106685
1.1621	37.022978			2.704125	6.975188
1.18212	36.023461			2.713238	6.980843
1.1875	35.75486			2.72235	7.097655
1.20214	35.134735			2.731463	7.354603
1.22216	34.286723			2.740575	7.774735
1.24218	33.438711			2.749688	8.369587
1.25	33.10747			2.7588	9.133929
1.2622	32.664124			2.767913	10.04409
1.28222	31.9366			2.777025	11.05901
1.30224	31.209077			2.790863	12.68257
1.3125	30.83623			2.8047	14.24019
1.32226	30.529002			2.818538	15.5929
1.34227	29.899123			2.832375	16.68144
1.36229	29.268928			2.846213	17.52003
1.375	28.86884			2.86005	18.16551
1.38231	28.667836			2.873888	18.68714
1.40233	28.117344			2.887725	19.14792
1.42235	27.566851			2.901732	19.60438
1.4375	27.15027			2.920991	20.28913
1.44237	27.032425			2.940249	21.11498
1.46239	26.547976			2.959508	22.15686
1.48241	26.063527			2.978766	23.49664
1.5	25.63788			2.998025	25.237
1.50243	25.58579			3.007654	26.29752
1.52245	25.156635			3.017283	27.51069
1.54246	24.727694			3.026913	28.89832
1.56248	24.298539			3.036542	30.48266
1.5625	24.29811			3.046171	32.28529
1.5825	23.918129			3.0558	34.32286
1.60252	23.537768			3.06705	37.00795
1.62254	23.157408			3.0783	39.99579
1.625	23.11067			3.1008	46.46828
1.64256	22.825864			3.11205	49.54265
1.66258	22.501158			3.1233	52.10683
1.6826	22.176453			3.13455	53.81813
1.70262	21.851748			3.1458	54.38483
1.72264	21.527043			3.1558	53.79309
1.74265	21.2025			3.1633	52.6704
1.75	21.08329			3.1708	51.01578
1.76267	20.914692			3.1858	46.46022
1.78269	20.648288			3.2008	40.99343
1.80271	20.381884			3.2158	35.4972
1.82273	20.115481			3.232043	30.23149
1.84275	19.849077			3.248285	26.02199
1.86277	19.582673			3.256406	24.32662
1.875	19.41993			3.264527	22.88414
1.88279	19.334099			3.280769	20.66449
1.90281	19.113517			3.297012	19.17082
1.92283	18.892935			3.313254	18.23507
1.94284	18.672463			3.329496	17.72987
1.96286	18.451881			3.345738	17.56773
1.98288	18.2313			3.364688	17.74319
2	18.04267			3.383637	18.27925
2.0029	18.016828			3.402586	19.18477
2.02292	17.838433			3.421535	20.51422
2.04294	17.660037			3.43101	21.36976
2.06296	17.481641			3.440485	22.37774
2.08298	17.303245			3.44996	23.5638
2.103	17.124849			3.459434	24.96054
2.12302	16.946454			3.468909	26.61005
2.14304	16.768058			3.478383	28.56531
2.16305	16.589751			3.487858	30.89422
2.18307	16.411355			3.497332	33.68031
2.1875	16.37188			3.5041	36.00611
2.20309	16.261938			3.510867	38.65758
2.22311	16.120754			3.517635	41.67858
2.24313	15.979571			3.524402	45.10944
2.26315	15.838388			3.53117	48.98503
2.28317	15.697205			3.537937	53.32275
2.30319	15.556022			3.544705	58.11707
2.32321	15.414839			3.551472	63.32273
2.34323	15.273655			3.566179	75.53285
2.36324	15.132543			3.580886	87.26522
2.375	15.04961			3.58824	92.04027
2.38326	15.002729			3.595593	95.54144
2.40328	14.889103			3.602947	97.40951
2.4233	14.775477			3.6103	97.39086
2.44332	14.661851			3.616313	95.89756
2.46334	14.548225			3.621574	93.52107
2.48336	14.434599			3.626835	90.21765
2.50338	14.320973			3.637357	81.30436
2.5234	14.207347			3.647879	70.3615
2.54342	14.093721			3.6584	58.74676
2.5625	13.98543			3.671394	45.19054
2.56343	13.981116			3.677891	39.1638
2.58345	13.888249			3.684388	33.76532
2.60347	13.795382			3.690885	29.02195
2.62349	13.702514			3.697382	24.91945
2.64351	13.609647			3.703879	21.41521
2.66353	13.51678			3.710375	18.45041
2.68355	13.423913			3.715396	16.48597
2.70357	13.331046			3.720416	14.77301
2.72359	13.238179			3.725437	13.28099
2.74361	13.145311			3.730457	11.98271
2.75	13.11567			3.735478	10.85237
2.76362	13.063406			3.740498	9.86785
2.78364	12.986582			3.745518	9.009034
2.80366	12.909759			3.750538	8.258609
2.82368	12.832935			3.755559	7.601497
2.8437	12.756112			3.760579	7.025106
2.86372	12.679288			3.770619	6.07169
2.88374	12.602465			3.78066	5.328118
2.90376	12.525642			3.7907	4.743466
2.92378	12.448818			3.801454	4.251109
2.9375	12.39617			3.812207	3.864413
2.9438	12.375989			3.82296	3.558546
2.96381	12.311891			3.833713	3.3151
2.98383	12.247761			3.844466	3.12024
3.00385	12.183631			3.855219	2.963449
3.02387	12.1195			3.876725	2.733689
3.04389	12.05537			3.898232	2.581561
3.06391	11.99124			3.919738	2.482196
3.08393	11.92711			3.941244	2.421903
3.10395	11.86298			3.96275	2.39207
3.12397	11.798849			3.994613	2.388989
3.125	11.79555			4.026475	2.416601
3.14399	11.744449			4.058338	2.458931
